Symbol,Listed_MIC,Monthly_ADV,NYSE_ADV,NYSE_ADV_%,Company_Name,Country
NGG,XNYS,"1,337,365","190,469",14.24%,National Grid plc,United Kingdom
SHEL,XNYS,"6,496,855","920,903",14.17%,Shell plc,United Kingdom
NOK,XNYS,"37,994,288","5,319,074",14.00%,Nokia Oyj,Finland
DEO,XNYS,"2,068,599","276,814",13.38%,Diageo plc,United Kingdom
BBVA,XNYS,"2,608,485","345,124",13.23%,"Banco Bilbao Vizcaya Argentaria, S.A.",Spain
CIG.C,XNYS,"4,476",585,13.07%,Companhia Energética de Minas Gerais - CEMIG (Preferred),Brazil
NVO,XNYS,"31,807,360","4,128,751",12.98%,Novo Nordisk A/S,Denmark
NVS,XNYS,"2,923,124","375,137",12.83%,Novartis AG,Switzerland
SAP,XNYS,"3,441,706","425,434",12.36%,SAP SE,Germany
IHG,XNYS,"318,061","38,891",12.23%,InterContinental Hotels Group PLC,United Kingdom
NTZ,XNYS,"2,366",283,11.96%,Natuzzi S.p.A.,Italy
BBD,XNYS,"41,590,221","4,861,183",11.69%,Banco Bradesco S.A.,Brazil
RTO,XNYS,"1,698,684","197,868",11.65%,Rentokil Initial plc,United Kingdom
LYG,XNYS,"26,536,028","2,913,272",10.98%,Lloyds Banking Group plc,United Kingdom
CCM,XNYS,"3,850",406,10.55%,Concord Medical Services Holdings Limited,China
ABEV,XNYS,"24,337,213","2,525,137",10.38%,Ambev S.A.,Brazil
SAN,XNYS,"20,875,770","2,101,554",10.07%,"Banco Santander, S.A.",Spain
SLAI,XNYS,"109,940","10,556",9.60%,SOLAI Limited,United States
AMTD,XNYS,"57,075","5,300",9.29%,AMTD IDEA Group,Singapore
FEDU,XNYS,"15,489","1,321",8.53%,Four Seasons Education (Cayman) Inc.,China
MSC,XNYS,978,68,6.95%,Studio City International Holdings Limited,Hong Kong
HKD,XNYS,"973,573","49,923",5.13%,AMTD Digital Inc.,Singapore
